"","name","key","datasetKey","publishingOrgKey","publishingCountry","protocol","lastCrawled","lastParsed","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","scientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","dateIdentified","decimalLongitude","decimalLatitude","year","month","day","eventDate","issues","modified","lastInterpreted","references","identifiers","facts","relations","geodeticDatum","class","countryCode","country","verbatimEventDate","verbatimLocality","rights","rightsHolder","collectionCode","taxonID","gbifID","occurrenceRemarks","institutionCode","catalogNumber","datasetName","recordedBy","identifier","identificationID","informationWithheld","eventTime","stateProvince","vernacularName","county","locality","occurrenceID","prov"
"1","Accipiter striatus",891035349,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:57.451+0000","2014-05-29T20:14:54.448+0000","none","HUMAN_OBSERVATION",2480612,1,44,212,7191147,2877,2480577,2480612,"Accipiter striatus Vieillot, 1808","Animalia","Chordata","Accipitriformes","Accipitridae","Accipiter","Accipiter striatus","Accipiter","striatus","SPECIES","2014-01-21T16:59:03.000+0000",-72.52547,43.13234,2014,1,20,"2014-01-19T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-08T21:00:13.000+0000","2014-06-05T19:24:52.636+0000","http://www.inaturalist.org/observations/506413","none","none","none","WGS84","Aves","US","United States","2014-01-20","20 Hitchcock Rd, Rockingham, VT","Copyright joannerusso, licensed under a Creative Commons cc_by_name license: http://creativecommons.org/licenses/by/3.0/","joannerusso","Observations","5097","891035349","1 less robin!","iNaturalist","506413","iNaturalist research-grade observations","joannerusso","506413","877802",NA,NA,NA,NA,NA,NA,NA,"gbif"
"2","Accipiter striatus",891038901,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:59.743+0000","2014-05-29T20:15:19.597+0000","none","HUMAN_OBSERVATION",2480612,1,44,212,7191147,2877,2480577,2480612,"Accipiter striatus Vieillot, 1808","Animalia","Chordata","Accipitriformes","Accipitridae","Accipiter","Accipiter striatus","Accipiter","striatus","SPECIES","2014-01-28T10:30:46.000+0000",-97.1993,32.86027,2014,1,26,"2014-01-25T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-08T22:00:13.000+0000","2014-06-05T19:25:06.748+0000","http://www.inaturalist.org/observations/513828","none","none","none","WGS84","Aves","US","United States","2014-01-26","Acadia Trail Park, Fort Worth Texas","Copyright Joseph Byrne, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","Joseph Byrne","Observations","5097","891038901","We were birding in the Acadia Trail Park in Fort Worth, Texas and observing birds in a wooded area when they all flew off rapidly at the same time.  So we started looking for the Hawk that caused the birds to flee and it flew into the trees and perched real close to us.  I could not get a shot without branches in the way.","iNaturalist","513828","iNaturalist research-grade observations","Joseph Byrne","513828","893464","Coordinate uncertainty increased by 10000m to protect threatened taxon",NA,NA,NA,NA,NA,NA,"gbif"
"3","Accipiter striatus",891035119,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:57.146+0000","2014-05-29T20:14:52.847+0000","none","HUMAN_OBSERVATION",2480612,1,44,212,7191147,2877,2480577,2480612,"Accipiter striatus Vieillot, 1808","Animalia","Chordata","Accipitriformes","Accipitridae","Accipiter","Accipiter striatus","Accipiter","striatus","SPECIES","2014-01-21T02:21:42.000+0000",-71.72514,18.26982,2014,1,19,"2014-01-18T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-08T20:54:49.000+0000","2014-06-05T19:24:51.764+0000","http://www.inaturalist.org/observations/505911","none","none","none","WGS84","Aves","DO","Dominican Republic","2014-01-19","El Aguacate, Dominican Republic","Copyright Ron Savage, licensed under a Creative Commons cc_by_nc_sa_name license: http://creativecommons.org/licenses/by-nc-sa/3.0/","Ron Savage","Observations","5097","891035119","Only one observed. Unusual raptor. Seen high up in mountains above cloud forest. ","iNaturalist","505911","iNaturalist research-grade observations","Ron Savage","505911","876618",NA,NA,NA,NA,NA,NA,NA,"gbif"
"4","Accipiter striatus",891040018,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:00.537+0000","2014-05-29T20:15:26.796+0000","none","HUMAN_OBSERVATION",2480612,1,44,212,7191147,2877,2480577,2480612,"Accipiter striatus Vieillot, 1808","Animalia","Chordata","Accipitriformes","Accipitridae","Accipiter","Accipiter striatus","Accipiter","striatus","SPECIES","2014-01-31T21:45:39.000+0000",-97.65347,30.15791,2014,1,30,"2014-01-30T21:10:36.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-08T22:18:44.000+0000","2014-06-05T19:25:10.713+0000","http://www.inaturalist.org/observations/516031","none","none","none","WGS84","Aves","US","United States","2014-01-30 16:10:36","Travis, Texas, United States","Copyright Mark Rosenstein, licensed under a Creative Commons cc_by_name license: http://creativecommons.org/licenses/by/3.0/","Mark Rosenstein","Observations","5097","891040018","This felt like a falcon to watch it fly, which led me to tentatively call it a Merlin.  However, looking at the photo, it appears more like a Red-Shouldered Hawk. ","iNaturalist","516031","iNaturalist research-grade observations","Mark Rosenstein","516031","899648","Coordinate uncertainty increased by 10000m to protect threatened taxon","21:10:36Z",NA,NA,NA,NA,NA,"gbif"
"5","Accipiter striatus",891040169,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:00.424+0000","2014-05-29T20:15:28.625+0000","none","HUMAN_OBSERVATION",2480612,1,44,212,7191147,2877,2480577,2480612,"Accipiter striatus Vieillot, 1808","Animalia","Chordata","Accipitriformes","Accipitridae","Accipiter","Accipiter striatus","Accipiter","striatus","SPECIES","2014-01-31T17:09:03.000+0000",-122.4398,37.48967,2014,1,30,"2014-01-29T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-08T22:21:55.000+0000","2014-06-05T19:25:11.667+0000","http://www.inaturalist.org/observations/516445","none","none","none","WGS84","Aves","US","United States","2014-01-30","Fitzgerald Marine Reserve, San Mateo Co. CA","Copyright James Maughn, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","James Maughn","Observations","5097","891040169",NA,"iNaturalist","516445","iNaturalist research-grade observations","James Maughn","516445","899278","Coordinate uncertainty increased by 10000m to protect threatened taxon",NA,NA,NA,NA,NA,NA,"gbif"
"6","Accipiter striatus",891048899,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:05.348+0000","2014-05-29T20:16:27.456+0000","none","HUMAN_OBSERVATION",2480612,1,44,212,7191147,2877,2480577,2480612,"Accipiter striatus Vieillot, 1808","Animalia","Chordata","Accipitriformes","Accipitridae","Accipiter","Accipiter striatus","Accipiter","striatus","SPECIES","2014-02-20T21:56:17.000+0000",-73.0672,43.63152,2014,2,15,"2014-02-14T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-09T01:18:13.000+0000","2014-06-05T19:25:46.664+0000","http://www.inaturalist.org/observations/537994","none","none","none","WGS84","Aves","US","United States","2014-02-15","West Rutland Marsh, West Rutland, Vermont","Copyright sallen, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","sallen","Observations","5097","891048899",NA,"iNaturalist","537994","iNaturalist research-grade observations","sallen","537994","942188",NA,NA,NA,NA,NA,NA,NA,"gbif"
"7","Accipiter striatus",891043765,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:02.736+0000","2014-05-29T20:15:52.427+0000","none","HUMAN_OBSERVATION",2480612,1,44,212,7191147,2877,2480577,2480612,"Accipiter striatus Vieillot, 1808","Animalia","Chordata","Accipitriformes","Accipitridae","Accipiter","Accipiter striatus","Accipiter","striatus","SPECIES","2014-02-08T20:55:19.000+0000",-76.64497,41.85597,2014,2,7,"2014-02-06T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-08T23:40:44.000+0000","2014-06-05T19:25:25.663+0000","http://www.inaturalist.org/observations/524857","none","none","none","WGS84","Aves","US","United States","2014-02-07","east smithfield, pa","Copyright crgillette, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","crgillette","Observations","5097","891043765","Most likely the same hawk I posted previously, January 22nd. Very confident is sharp-shinned but looking for confirmation.  Reasons I believe is sharp-shinned; Dark back of neck, skinny legs, wide chest, tail appears to have sharp corners, looks slightly larger than mourning dove.","iNaturalist","524857","iNaturalist research-grade observations","crgillette","524857","916666",NA,NA,NA,NA,NA,NA,NA,"gbif"
"8","Accipiter striatus",891056214,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:09.437+0000","2014-05-29T20:17:15.609+0000","none","HUMAN_OBSERVATION",2480612,1,44,212,7191147,2877,2480577,2480612,"Accipiter striatus Vieillot, 1808","Animalia","Chordata","Accipitriformes","Accipitridae","Accipiter","Accipiter striatus","Accipiter","striatus","SPECIES","2014-03-06T16:31:28.000+0000",-117.14734,32.70358,2014,2,27,"2014-02-27T00:09:22.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-09T03:29:44.000+0000","2014-06-05T19:26:15.183+0000","http://www.inaturalist.org/observations/555214","none","none","none","WGS84","Aves","US","United States","2014-02-27 16:09:22","Silver Strand SB","Copyright BJ Stacey, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","BJ Stacey","Observations","5097","891056214","San Diego County, California, US","iNaturalist","555214","iNaturalist research-grade observations","BJ Stacey","555214","976122","Coordinate uncertainty increased by 10000m to protect threatened taxon","00:09:22Z",NA,NA,NA,NA,NA,"gbif"
"9","Accipiter striatus",891050439,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:06.025+0000","2014-05-29T20:16:36.844+0000","none","HUMAN_OBSERVATION",2480612,1,44,212,7191147,2877,2480577,2480612,"Accipiter striatus Vieillot, 1808","Animalia","Chordata","Accipitriformes","Accipitridae","Accipiter","Accipiter striatus","Accipiter","striatus","SPECIES","2014-02-24T01:41:50.000+0000",-97.88279,26.10227,2014,2,23,"2014-02-22T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-20T18:47:41.000+0000","2014-06-05T19:25:52.844+0000","http://www.inaturalist.org/observations/541408","none","none","none","WGS84","Aves","US","United States","2014-02-23","Estero Llano Grande State Park","Copyright Greg Lasley, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","Greg Lasley","Observations","5097","891050439",NA,"iNaturalist","541408","iNaturalist research-grade observations","Greg Lasley","541408","948332","Coordinate uncertainty increased by 10000m to protect threatened taxon",NA,NA,NA,NA,NA,NA,"gbif"
"10","Accipiter striatus",891049443,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:05.574+0000","2014-05-29T20:16:30.745+0000","none","HUMAN_OBSERVATION",2480612,1,44,212,7191147,2877,2480577,2480612,"Accipiter striatus Vieillot, 1808","Animalia","Chordata","Accipitriformes","Accipitridae","Accipiter","Accipiter striatus","Accipiter","striatus","SPECIES","2014-02-22T02:05:58.000+0000",-99.09873,26.49104,2014,2,21,"2014-02-20T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-09T01:28:14.000+0000","2014-06-05T19:25:48.684+0000","http://www.inaturalist.org/observations/538918","none","none","none","WGS84","Aves","MX","Mexico","2014-02-21","Salineno, Texas","Copyright Greg Lasley, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","Greg Lasley","Observations","5097","891049443",NA,"iNaturalist","538918","iNaturalist research-grade observations","Greg Lasley","538918","944256","Coordinate uncertainty increased by 10000m to protect threatened taxon",NA,NA,NA,NA,NA,NA,"gbif"
