"","name","key","datasetKey","publishingOrgKey","publishingCountry","protocol","lastCrawled","lastParsed","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","scientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","dateIdentified","decimalLongitude","decimalLatitude","year","month","day","eventDate","issues","modified","lastInterpreted","references","identifiers","facts","relations","geodeticDatum","class","countryCode","country","gbifID","verbatimEventDate","institutionCode","datasetName","verbatimLocality","catalogNumber","recordedBy","rights","rightsHolder","identifier","taxonID","collectionCode","identificationID","occurrenceRemarks","eventTime","informationWithheld","infraspecificEpithet","locality","prov"
"1","Melospiza melodia",891031593,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:55.229+0000","2014-05-29T20:14:30.493+0000","none","HUMAN_OBSERVATION",2492196,1,44,212,729,9608,2492191,2492196,"Melospiza melodia (A. Wilson, 1810)","Animalia","Chordata","Passeriformes","Emberizidae","Melospiza","Melospiza melodia","Melospiza","melodia","SPECIES","2014-01-11T14:42:49.000+0000",-123.80025,39.4897,2014,1,9,"2014-01-08T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-08T19:45:12.000+0000","2014-06-05T19:24:37.952+0000","http://www.inaturalist.org/observations/498813","none","none","none","WGS84","Aves","US","United States","891031593","2014-01-09","iNaturalist","iNaturalist research-grade observations","MacKerricher State Park, CA","498813","Don Loarie","Copyright Don Loarie, licensed under a Creative Commons cc_by_name license: http://creativecommons.org/licenses/by/3.0/","Don Loarie","498813","9100","Observations","859160",NA,NA,NA,NA,NA,"gbif"
"2","Fulica americana",891034569,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:56.957+0000","2014-05-29T20:14:49.921+0000","none","HUMAN_OBSERVATION",2474393,1,44,212,1493,9342,2474376,2474393,"Fulica americana Gmelin, 1789","Animalia","Chordata","Gruiformes","Rallidae","Fulica","Fulica americana","Fulica","americana","SPECIES","2014-01-19T22:45:01.000+0000",-121.9103,39.60556,2014,1,19,"2014-01-18T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-08T20:44:11.000+0000","2014-06-05T19:24:49.752+0000","http://www.inaturalist.org/observations/504865","none","none","none","WGS84","Aves","US","United States","891034569","2014-01-19","iNaturalist","iNaturalist research-grade observations","Llano Seco Unit, Sacramento River NWR, Chico, California","504865","Jennifer Rycenga","Copyright Jennifer Rycenga, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","Jennifer Rycenga","504865","473","Observations","873980","Second picture, with a Green-winged Teal and an American Pipit",NA,NA,NA,NA,"gbif"
"3","Heteromeles arbutifolia",891035526,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:57.506+0000","2014-05-29T20:14:56.053+0000","none","HUMAN_OBSERVATION",5370154,6,49,220,691,5015,3025170,5370154,"Heteromeles arbutifolia (Lindl.) M. Roemer","Plantae","Magnoliophyta","Rosales","Rosaceae","Heteromeles","Heteromeles arbutifolia","Heteromeles","arbutifolia","SPECIES","2014-01-22T00:09:33.000+0000",-122.58226,38.4005,2014,1,21,"2014-01-20T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-04-28T01:12:46.000+0000","2014-06-05T19:24:53.469+0000","http://www.inaturalist.org/observations/506895","none","none","none","WGS84","Magnoliopsida","US","United States","891035526","2014-01-21","iNaturalist","iNaturalist research-grade observations","Annadel State Park, California","506895","c michael hogan","Copyright c michael hogan, licensed under a Creative Commons cc_by_nc_sa_name license: http://creativecommons.org/licenses/by-nc-sa/3.0/","c michael hogan","506895","53405","Observations","878772","This Toyon was seen loaded with berries in an ecotone transition between oak woodland and chaparral. This part of Annadel is one of the most pristine sectors of the State Park, with much of the terrain appearing as it might have in Native American habitation times centuries ago. ",NA,NA,NA,NA,"gbif"
"4","Coccinella septempunctata",899944092,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:59.402+0000","2014-07-08T12:28:00.101+0000","none","HUMAN_OBSERVATION",4990191,1,54,216,1470,7782,1043502,4990191,"Coccinella septempunctata Linnaeus, 1758","Animalia","Arthropoda","Coleoptera","Coccinellidae","Coccinella","Coccinella septempunctata","Coccinella","septempunctata","SPECIES","2014-01-27T14:15:04.000+0000",-123.7993,39.33115,2014,1,26,"2014-01-26T00:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-06-20T12:05:54.000+0000","2014-07-08T12:30:55.887+0000","http://www.inaturalist.org/observations/512926","none","none","none","WGS84","Insecta","US","United States","899944092","2014-01-26 4pm","iNaturalist","iNaturalist research-grade observations","russian gulch","512926","Naturalist Eve","Copyright Naturalist Eve, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","Naturalist Eve","512926","51702","Observations","891557",NA,"00:00:00Z",NA,NA,NA,"gbif"
"5","Steatoda",891031148,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:54.975+0000","2014-05-29T20:14:26.698+0000","none","HUMAN_OBSERVATION",2157199,1,54,367,1496,9583,2157199,NA,"Steatoda Sundevall, 1833","Animalia","Arthropoda","Araneae","Theridiidae","Steatoda",NA,"Steatoda",NA,"GENUS","2014-01-10T20:34:52.000+0000",-122.79741,38.43058,2014,1,8,"2014-01-08T18:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-02-19T07:14:23.000+0000","2014-06-05T19:24:36.133+0000","http://www.inaturalist.org/observations/497687","none","none","none","WGS84","Arachnida","US","United States","891031148","2014-01-08 10 am","iNaturalist","iNaturalist research-grade observations","piezzi road santa rosa","497687","Naturalist Eve","Copyright Naturalist Eve, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","Naturalist Eve","497687","61998","Observations","858058","This spider was hiding out under my kitchen counter, above my dishwasher while I was cleaning. I see these guys around my house often.","18:00:00Z",NA,NA,NA,"gbif"
"6","Falco sparverius",891779473,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:53.611+0000","2014-05-29T21:30:14.997+0000","none","HUMAN_OBSERVATION",2481022,1,44,212,7191407,5240,2480996,2481022,"Falco sparverius Linnaeus, 1758","Animalia","Chordata","Falconiformes","Falconidae","Falco","Falco sparverius","Falco","sparverius","SPECIES","2014-01-03T13:14:36.000+0000",-122.57146,38.48316,2014,1,3,"2014-01-02T23:28:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-08T18:46:01.000+0000","2014-06-05T20:08:47.223+0000","http://www.inaturalist.org/observations/492308","none","none","none","WGS84","Aves","US","United States","891779473","2014-01-02  1528","iNaturalist","iNaturalist research-grade observations","Hood Mt. Regional Park","492308","icosahedron","Copyright icosahedron, licensed under a Creative Commons cc_by_name license: http://creativecommons.org/licenses/by/3.0/","icosahedron","492308","4665","Observations","845082",NA,"23:28:00Z",NA,NA,NA,"gbif"
"7","Haemorhous",891031566,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:55.191+0000","2014-05-29T20:14:30.491+0000","none","HUMAN_OBSERVATION",4844128,1,44,212,NA,NA,4844128,NA,"Haemorhous Swainson, 1837","Animalia","Chordata",NA,NA,"Haemorhous",NA,"Haemorhous",NA,"GENUS","2014-01-11T15:26:12.000+0000",-123.80476,39.31038,2014,1,10,"2014-01-09T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES,TAXON_MATCH_HIGHERRANK","2014-03-08T19:45:34.000+0000","2014-06-05T19:24:37.893+0000","http://www.inaturalist.org/observations/498842","none","none","none","WGS84","Aves","US","United States","891031566","2014-01-10","iNaturalist","iNaturalist research-grade observations","Mendocino, CA","498842","Don Loarie","Copyright Don Loarie, licensed under a Creative Commons cc_by_name license: http://creativecommons.org/licenses/by/3.0/","Don Loarie","498842","199840","Observations","859205",NA,NA,NA,NA,NA,"gbif"
"8","Euphagus cyanocephalus",891031450,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:55.103+0000","2014-05-29T20:14:28.762+0000","none","HUMAN_OBSERVATION",2484183,1,44,212,729,6176,2484182,2484183,"Euphagus cyanocephalus (Wagler, 1829)","Animalia","Chordata","Passeriformes","Icteridae","Euphagus","Euphagus cyanocephalus","Euphagus","cyanocephalus","SPECIES","2014-01-11T00:26:25.000+0000",-123.8058,39.45524,2014,1,9,"2014-01-08T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-08T19:41:43.000+0000","2014-06-05T19:24:37.300+0000","http://www.inaturalist.org/observations/498410","none","none","none","WGS84","Aves","US","United States","891031450","2014-01-09","iNaturalist","iNaturalist research-grade observations","Fort Bragg, CA","498410","Don Loarie","Copyright Don Loarie, licensed under a Creative Commons cc_by_name license: http://creativecommons.org/licenses/by/3.0/","Don Loarie","498410","10325","Observations","858458","Beautiful colors, in the right light.",NA,NA,NA,NA,"gbif"
"9","Anas americana",891034585,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:57.040+0000","2014-05-29T20:14:50.662+0000","none","HUMAN_OBSERVATION",2498154,1,44,212,1108,2986,2498056,2498154,"Anas americana Gmelin, 1789","Animalia","Chordata","Anseriformes","Anatidae","Anas","Anas americana","Anas","americana","SPECIES","2014-01-19T22:48:32.000+0000",-121.9103,39.60556,2014,1,19,"2014-01-18T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-08T20:44:17.000+0000","2014-06-05T19:24:49.759+0000","http://www.inaturalist.org/observations/504869","none","none","none","WGS84","Aves","US","United States","891034585","2014-01-19","iNaturalist","iNaturalist research-grade observations","Llano Seco Unit, Sacramento River NWR, Chico, California","504869","Jennifer Rycenga","Copyright Jennifer Rycenga, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","Jennifer Rycenga","504869","6985","Observations","873993",NA,NA,NA,NA,NA,"gbif"
"10","Ardea herodias",891779150,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:53.578+0000","2014-07-08T12:27:53.615+0000","none","HUMAN_OBSERVATION",2480935,1,44,212,7190953,3685,2480922,2480935,"Ardea herodias Linnaeus, 1758","Animalia","Chordata","Pelecaniformes","Ardeidae","Ardea","Ardea herodias","Ardea","herodias","SPECIES","2014-01-02T02:12:44.000+0000",-121.9708,38.52491,2014,1,1,"2013-12-31T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-06-23T03:11:26.000+0000","2014-07-08T12:30:47.476+0000","http://www.inaturalist.org/observations/491725","none","none","none","WGS84","Aves","US","United States","891779150","2014-01-01","iNaturalist","iNaturalist research-grade observations","Winters, CA","491725","Kim Ewart","Copyright Kim Ewart, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","Kim Ewart","491725","4956","Observations","842896",NA,NA,NA,NA,NA,"gbif"
